ocr_id,gene,chrom,distance,abs_distance,correlation
ImmGenATAC1219.peak_40,Rp1,chr1,-90921,90921,-0.07180131901177891
ImmGenATAC1219.peak_41,Rp1,chr1,-82495,82495,-0.38512735345053023
ImmGenATAC1219.peak_42,Rp1,chr1,-79777,79777,-0.6063394471494394
ImmGenATAC1219.peak_43,Rp1,chr1,-76586,76586,0.034226438049514564
ImmGenATAC1219.peak_44,Rp1,chr1,-63686,63686,-0.28064161279456423
ImmGenATAC1219.peak_45,Rp1,chr1,-57967,57967,-0.45248842390900074
ImmGenATAC1219.peak_46,Rp1,chr1,-57194,57194,-0.036861777023639054
ImmGenATAC1219.peak_47,Rp1,chr1,-30532,30532,0.20590250976038835
ImmGenATAC1219.peak_87,Sox17,chr1,19365,19365,-0.20296825889256292
ImmGenATAC1219.peak_88,Sox17,chr1,21047,21047,0.1667552278584582
ImmGenATAC1219.peak_89,Sox17,chr1,30278,30278,-0.23540906412086687
ImmGenATAC1219.peak_90,Sox17,chr1,36871,36871,-0.3256620423653605
ImmGenATAC1219.peak_91,Sox17,chr1,46872,46872,0.1311416583685066
ImmGenATAC1219.peak_92,Sox17,chr1,49835,49835,-0.28837494420330656
ImmGenATAC1219.peak_93,Sox17,chr1,50220,50220,-0.0859993253500265
ImmGenATAC1219.peak_94,Sox17,chr1,57552,57552,-0.03148075126749817
ImmGenATAC1219.peak_95,Sox17,chr1,74341,74341,-0.20905283980588923
ImmGenATAC1219.peak_96,Sox17,chr1,74643,74643,0.003408866354880859
ImmGenATAC1219.peak_97,Sox17,chr1,82547,82547,-0.058719040924900656
ImmGenATAC1219.peak_98,Sox17,chr1,84811,84811,0.0942050734176797
ImmGenATAC1219.peak_99,Sox17,chr1,85355,85355,0.27246847754511316
ImmGenATAC1219.peak_100,Sox17,chr1,86935,86935,0.6836643515108762
ImmGenATAC1219.peak_101,Sox17,chr1,94180,94180,-0.29760011974169653
ImmGenATAC1219.peak_118,Mrpl15,chr1,-97432,97432,-0.12676319979716708
ImmGenATAC1219.peak_119,Mrpl15,chr1,-96425,96425,-0.17759204229913256
ImmGenATAC1219.peak_120,Mrpl15,chr1,-79343,79343,0.5775205804030467
ImmGenATAC1219.peak_173,Tcea1,chr1,53115,53115,-0.2991781294370386
ImmGenATAC1219.peak_174,Tcea1,chr1,56867,56867,-0.04342084070761363
ImmGenATAC1219.peak_180,Rgs20,chr1,-106942,106942,-0.07700027854046168
ImmGenATAC1219.peak_181,Rgs20,chr1,-105751,105751,-0.42840683707717714
ImmGenATAC1219.peak_182,Rgs20,chr1,-99794,99794,-0.21582595925791226
ImmGenATAC1219.peak_183,Rgs20,chr1,-99541,99541,0.39476566797795065
ImmGenATAC1219.peak_218,Atp6v1h,chr1,87530,87530,-0.24069081965843736
ImmGenATAC1219.peak_222,Oprk1,chr1,456,456,-0.23449544311529205
ImmGenATAC1219.peak_223,Npbwr1,chr1,-12398,12398,-0.17068342549803533
ImmGenATAC1219.peak_224,Npbwr1,chr1,-1900,1900,-0.3017733274369875
ImmGenATAC1219.peak_225,Npbwr1,chr1,-1282,1282,0.46793548031734294
ImmGenATAC1219.peak_226,Npbwr1,chr1,-568,568,0.059130008584989624
ImmGenATAC1219.peak_227,Npbwr1,chr1,-290,290,-0.10438226591410471
ImmGenATAC1219.peak_228,Npbwr1,chr1,80,80,-0.24169871308010915
ImmGenATAC1219.peak_229,Npbwr1,chr1,29086,29086,-0.2709882270645076
ImmGenATAC1219.peak_230,Npbwr1,chr1,56072,56072,0.026154621353270624
ImmGenATAC1219.peak_235,Rb1cc1,chr1,-79369,79369,0.2634990331705415
ImmGenATAC1219.peak_236,Rb1cc1,chr1,-70543,70543,-0.3550849268549723
ImmGenATAC1219.peak_237,Rb1cc1,chr1,-62039,62039,-0.30314403755499714
ImmGenATAC1219.peak_238,Rb1cc1,chr1,-27278,27278,-0.22546812195661572
ImmGenATAC1219.peak_239,Rb1cc1,chr1,-23904,23904,-0.39991003460412616
ImmGenATAC1219.peak_240,Rb1cc1,chr1,-17567,17567,-0.09167985388523509
ImmGenATAC1219.peak_241,Rb1cc1,chr1,-10537,10537,0.3603459259931481
ImmGenATAC1219.peak_242,Rb1cc1,chr1,-9719,9719,0.30244755971107784
ImmGenATAC1219.peak_243,Rb1cc1,chr1,-7266,7266,-0.11980956420640992
ImmGenATAC1219.peak_244,Rb1cc1,chr1,-328,328,-0.5559721365974666
ImmGenATAC1219.peak_245,Rb1cc1,chr1,-46,46,-0.21747663226580163
ImmGenATAC1219.peak_246,Rb1cc1,chr1,265,265,-0.6806726294539239
ImmGenATAC1219.peak_247,Rb1cc1,chr1,549,549,-0.48959583260860184
ImmGenATAC1219.peak_248,Rb1cc1,chr1,802,802,0.13467708214981397
ImmGenATAC1219.peak_249,Rb1cc1,chr1,8562,8562,-0.037585667881108877
ImmGenATAC1219.peak_250,Rb1cc1,chr1,9464,9464,0.8399083688256149
ImmGenATAC1219.peak_251,Rb1cc1,chr1,10646,10646,-0.33683274850235534
ImmGenATAC1219.peak_252,Rb1cc1,chr1,11713,11713,-0.3383796766863737
ImmGenATAC1219.peak_253,Rb1cc1,chr1,12362,12362,0.43128074243473236
ImmGenATAC1219.peak_254,Rb1cc1,chr1,29704,29704,0.14563359865121187
ImmGenATAC1219.peak_255,Rb1cc1,chr1,30954,30954,0.4320052495362706
ImmGenATAC1219.peak_256,Rb1cc1,chr1,34899,34899,0.3446990125249558
ImmGenATAC1219.peak_257,Rb1cc1,chr1,43607,43607,0.3552380174703638
ImmGenATAC1219.peak_306,St18,chr1,-269335,269335,0.5347132994229409
ImmGenATAC1219.peak_307,St18,chr1,-268501,268501,0.1140174670286724
ImmGenATAC1219.peak_308,St18,chr1,-264971,264971,-0.10214018626323823
ImmGenATAC1219.peak_309,St18,chr1,-263071,263071,-0.116784435429186
ImmGenATAC1219.peak_310,St18,chr1,-262807,262807,0.2794704888361069
ImmGenATAC1219.peak_311,St18,chr1,-261810,261810,-0.20114674689544107
ImmGenATAC1219.peak_312,St18,chr1,-259151,259151,0.7796914019298982
ImmGenATAC1219.peak_313,St18,chr1,-256416,256416,0.007712985618110009
ImmGenATAC1219.peak_314,St18,chr1,-253377,253377,0.567635903129602
ImmGenATAC1219.peak_315,St18,chr1,-251920,251920,-0.06974320362362568
ImmGenATAC1219.peak_316,St18,chr1,-249999,249999,0.6398817016737394
ImmGenATAC1219.peak_317,St18,chr1,-248575,248575,0.7606009850618507
ImmGenATAC1219.peak_318,St18,chr1,-246581,246581,-0.08745999641058676
ImmGenATAC1219.peak_319,St18,chr1,-242721,242721,0.38341477579837174
ImmGenATAC1219.peak_320,St18,chr1,-241412,241412,0.6574033509681227
ImmGenATAC1219.peak_321,St18,chr1,-237013,237013,-0.18153670273915257
ImmGenATAC1219.peak_322,St18,chr1,-236750,236750,0.685568558107732
ImmGenATAC1219.peak_323,St18,chr1,-236329,236329,0.0317837135546214
ImmGenATAC1219.peak_324,St18,chr1,-233312,233312,0.16884930450792476
ImmGenATAC1219.peak_325,St18,chr1,-230989,230989,-0.06834302426994546
ImmGenATAC1219.peak_326,St18,chr1,-210750,210750,0.17231374115132111
ImmGenATAC1219.peak_327,St18,chr1,-173137,173137,0.06411477711121472
ImmGenATAC1219.peak_331,St18,chr1,-72707,72707,0.21841506471077005
ImmGenATAC1219.peak_332,St18,chr1,-71206,71206,-0.24648870195870368
ImmGenATAC1219.peak_333,St18,chr1,-54007,54007,0.3494458025788661
ImmGenATAC1219.peak_334,St18,chr1,-7528,7528,0.48389908418935895
ImmGenATAC1219.peak_335,St18,chr1,30476,30476,0.2517435078112205
ImmGenATAC1219.peak_336,St18,chr1,30726,30726,0.04692304832216345
ImmGenATAC1219.peak_337,St18,chr1,38921,38921,0.04143561161864381
ImmGenATAC1219.peak_338,St18,chr1,44786,44786,0.503333145157864
ImmGenATAC1219.peak_339,St18,chr1,78585,78585,0.35341343013233045
ImmGenATAC1219.peak_340,St18,chr1,79082,79082,0.06293159683591283
ImmGenATAC1219.peak_341,St18,chr1,91537,91537,0.5972462881820082
ImmGenATAC1219.peak_361,Pcmtd1,chr1,-98423,98423,-0.3517846471483473
ImmGenATAC1219.peak_362,Pcmtd1,chr1,-91098,91098,0.009477998866754524
ImmGenATAC1219.peak_363,Pcmtd1,chr1,-80919,80919,-0.4740465430793871
ImmGenATAC1219.peak_364,Pcmtd1,chr1,-78556,78556,0.05092261451193132
ImmGenATAC1219.peak_365,Pcmtd1,chr1,-69207,69207,-0.22270544723929658
ImmGenATAC1219.peak_366,Pcmtd1,chr1,-49717,49717,0.2836625819424706
ImmGenATAC1219.peak_367,Pcmtd1,chr1,-43428,43428,0.07611283450604622
ImmGenATAC1219.peak_368,Pcmtd1,chr1,-41606,41606,0.01385583740810681
ImmGenATAC1219.peak_369,Pcmtd1,chr1,-38039,38039,0.37480427564552726
ImmGenATAC1219.peak_370,Pcmtd1,chr1,-35354,35354,0.080639009189737
ImmGenATAC1219.peak_371,Pcmtd1,chr1,-33637,33637,-0.6107719003168856
ImmGenATAC1219.peak_372,Pcmtd1,chr1,-11914,11914,-0.4175231066525629
ImmGenATAC1219.peak_373,Pcmtd1,chr1,-11528,11528,-0.3543723925547799
ImmGenATAC1219.peak_374,Pcmtd1,chr1,-10990,10990,-0.22515166422781427
ImmGenATAC1219.peak_375,Pcmtd1,chr1,-2734,2734,0.011708280899596114
ImmGenATAC1219.peak_376,Pcmtd1,chr1,-394,394,-0.1698828812714061
ImmGenATAC1219.peak_377,Pcmtd1,chr1,-144,144,0.6745424244097554
ImmGenATAC1219.peak_378,Pcmtd1,chr1,132,132,0.04161703790573215
ImmGenATAC1219.peak_379,Pcmtd1,chr1,1631,1631,0.8035697704449414
ImmGenATAC1219.peak_380,Pcmtd1,chr1,7143,7143,0.3589181109681619
ImmGenATAC1219.peak_381,Pcmtd1,chr1,7462,7462,0.1451953208142014
ImmGenATAC1219.peak_382,Pcmtd1,chr1,9462,9462,-0.33688286821764607
ImmGenATAC1219.peak_383,Pcmtd1,chr1,10200,10200,0.12297919662405221
ImmGenATAC1219.peak_384,Pcmtd1,chr1,10923,10923,0.3087986451724767
ImmGenATAC1219.peak_385,Pcmtd1,chr1,11766,11766,-0.23794736387055243
ImmGenATAC1219.peak_386,Pcmtd1,chr1,13932,13932,0.2603664812650203
ImmGenATAC1219.peak_387,Pcmtd1,chr1,14230,14230,0.24488642287841259
ImmGenATAC1219.peak_388,Pcmtd1,chr1,14885,14885,0.5946484581276265
ImmGenATAC1219.peak_389,Pcmtd1,chr1,16344,16344,0.6550414626435584
ImmGenATAC1219.peak_390,Pcmtd1,chr1,16902,16902,0.5629447012255434
ImmGenATAC1219.peak_391,Pcmtd1,chr1,20701,20701,0.35877059085225316
ImmGenATAC1219.peak_392,Pcmtd1,chr1,22267,22267,0.6478571111771597
ImmGenATAC1219.peak_393,Pcmtd1,chr1,22770,22770,0.6233742011840917
ImmGenATAC1219.peak_394,Pcmtd1,chr1,23587,23587,-0.4923437921074507
ImmGenATAC1219.peak_395,Pcmtd1,chr1,24143,24143,0.5244046581020011
ImmGenATAC1219.peak_396,Pcmtd1,chr1,24540,24540,0.5427630396814205
