gene,ocr_id,distance_to_tss
0610005C13Rik,ImmGenATAC1219.peak_427235,1003
0610009B22Rik,ImmGenATAC1219.peak_75289,163
0610009E02Rik,ImmGenATAC1219.peak_263173,25
0610009L18Rik,ImmGenATAC1219.peak_95335,68
0610010F05Rik,ImmGenATAC1219.peak_70328,94
0610010K14Rik,ImmGenATAC1219.peak_80208,38
0610012G03Rik,ImmGenATAC1219.peak_192712,60
0610030E20Rik,ImmGenATAC1219.peak_402041,3
0610031O16Rik,ImmGenATAC1219.peak_322550,191
0610038B21Rik,ImmGenATAC1219.peak_462067,20
0610039H22Rik,ImmGenATAC1219.peak_85695,154
0610039K10Rik,ImmGenATAC1219.peak_292848,104
0610040B10Rik,ImmGenATAC1219.peak_386862,64
0610040F04Rik,ImmGenATAC1219.peak_409334,1955
0610040J01Rik,ImmGenATAC1219.peak_367960,18
0610043K17Rik,ImmGenATAC1219.peak_342468,456
1110002E22Rik,ImmGenATAC1219.peak_322501,492
1110002J07Rik,ImmGenATAC1219.peak_50652,61
1110002L01Rik,ImmGenATAC1219.peak_95994,114
1110004F10Rik,ImmGenATAC1219.peak_441448,126
1110006O24Rik,ImmGenATAC1219.peak_379223,136
1110008P14Rik,ImmGenATAC1219.peak_265434,79
1110015O18Rik,ImmGenATAC1219.peak_298633,35902
1110017D15Rik,ImmGenATAC1219.peak_331969,694
1110019D14Rik,ImmGenATAC1219.peak_390856,68
1110020A21Rik,ImmGenATAC1219.peak_224656,95
1110025L11Rik,ImmGenATAC1219.peak_201232,50041
1110028F11Rik,ImmGenATAC1219.peak_85321,1793
1110028F18Rik,ImmGenATAC1219.peak_468069,14
1110032A03Rik,ImmGenATAC1219.peak_483704,27
1110032F04Rik,ImmGenATAC1219.peak_307975,33
1110036E04Rik,ImmGenATAC1219.peak_487479,77
1110038B12Rik,ImmGenATAC1219.peak_213432,4
1110038F14Rik,ImmGenATAC1219.peak_177812,91
1110046J04Rik,ImmGenATAC1219.peak_124482,13
1110051M20Rik,ImmGenATAC1219.peak_277056,1
1110058D11Rik,ImmGenATAC1219.peak_219346,56
1110059E24Rik,ImmGenATAC1219.peak_248358,2
1110059G10Rik,ImmGenATAC1219.peak_501178,3
1110065P20Rik,ImmGenATAC1219.peak_348106,1
1190005I06Rik,ImmGenATAC1219.peak_471990,33
1190007I07Rik,ImmGenATAC1219.peak_55020,54
1190028D05Rik,ImmGenATAC1219.peak_458245,178
1300002E11Rik,ImmGenATAC1219.peak_190018,23
1300017J02Rik,ImmGenATAC1219.peak_495730,978
1500004A13Rik,ImmGenATAC1219.peak_311461,13
1500009C09Rik,ImmGenATAC1219.peak_179775,740
1500009L16Rik,ImmGenATAC1219.peak_55476,59
1500011B03Rik,ImmGenATAC1219.peak_378849,40
1500012K07Rik,ImmGenATAC1219.peak_431797,20
1500015A07Rik,ImmGenATAC1219.peak_237247,83
1500015L24Rik,ImmGenATAC1219.peak_248036,692
1500026H17Rik,ImmGenATAC1219.peak_57216,54
1500035N22Rik,ImmGenATAC1219.peak_361766,2071
1600002D24Rik,ImmGenATAC1219.peak_203785,310
1600010M07Rik,ImmGenATAC1219.peak_439420,9
1600012H06Rik,ImmGenATAC1219.peak_208103,4
1600012P17Rik,ImmGenATAC1219.peak_27665,343
1600014C10Rik,ImmGenATAC1219.peak_426098,15360
1600014C23Rik,ImmGenATAC1219.peak_215501,125
1600015H23Rik,ImmGenATAC1219.peak_91461,208
1600019K03Rik,ImmGenATAC1219.peak_194015,3918
1600020E01Rik,ImmGenATAC1219.peak_404072,93
1600023N17Rik,ImmGenATAC1219.peak_366303,63
